,Store_Name,Address,City_State
0,Store #3481,112 Carroll Island Rd,"Baltimore, MD 21220"
1,Supercenter #3489,6420 Petrie Way Rd,"Baltimore, MD 21237"
2,Supercenter #2233,7400 Guilford Dr,"Frederick, MD 21704"
3,Supercenter #2756,2421 Monocacy Blvd,"Frederick, MD 21701"
4,Supercenter #1674,17850 Garland Groh Blvd,"Hagerstown, MD 21740"
5,Supercenter #2790,10420 Walmart Drive,"Hagerstown, MD 21740"
6,Supercenter #2021,36 Paramount Dr,"Raynham, MA 02767"
7,Supercenter #5448,160 Broadway,"Raynham, MA 02767"
