,Store_Name,Address,City_State
0,Neighborhood Market #3740,21475 E Quincy Ave,"Aurora, CO 80015"
1,Neighborhood Market #4196,15240 E Iliff Avenue,"Aurora, CO 80014"
2,Neighborhood Market #6178,10400 E Colfax Avenue,"Aurora, CO 80010"
3,Supercenter #1492,14000 E Exposition Ave,"Aurora, CO 80012"
4,Supercenter #1689,5650 S Chambers Rd,"Aurora, CO 80015"
5,Supercenter #5137,6101 S Aurora Pkwy,"Aurora, CO 80016"
6,Supercenter #5334,3301 Tower Rd,"Aurora, CO 80011"
7,Supercenter #1659,60 W Bromley Ln,"Brighton, CO 80601"
8,Supercenter #4567,7101 E 128th Ave,"Brighton, CO 80602"
9,Supercenter #4288,4651 W 121st Ave,"Broomfield, CO 80020"
10,Supercenter #5341,500 Summit Blvd,"Broomfield, CO 80021"
11,Neighborhood Market #3126,16746 E Smoky Hill Rd,"Centennial, CO 80015"
12,Supercenter #3313,10900 E Briarwood Ave,"Centennial, CO 80112"
13,Neighborhood Market #3082,1622 S Academy Blvd,"Colorado Springs, CO 80916"
14,Neighborhood Market #3083,665 N Murray Blvd,"Colorado Springs, CO 80915"
15,Neighborhood Market #3175,4142 Austin Bluffs Pkwy,"Colorado Springs, CO 80918"
16,Neighborhood Market #3176,1725 N Union Blvd,"Colorado Springs, CO 80909"
17,Supercenter #1200,3201 E Platte Ave,"Colorado Springs, CO 80909"
18,Supercenter #1434,707 S 8th St,"Colorado Springs, CO 80905"
19,Supercenter #1896,8250 Razorback Rd,"Colorado Springs, CO 80920"
20,Supercenter #3582,1575 Space Center Dr,"Colorado Springs, CO 80915"
21,Supercenter #5123,5550 E Woodmen Rd,"Colorado Springs, CO 80920"
22,Neighborhood Market #3127,5141 Chambers Rd,"Denver, CO 80239"
23,Neighborhood Market #3128,1442 S Parker Rd,"Denver, CO 80231"
24,Supercenter #3533,7800 Smith Rd,"Denver, CO 80207"
25,Supercenter #3566,9400 E Hampden Ave,"Denver, CO 80231"
26,Supercenter #5676,2770 W Evans Ave,"Denver, CO 80219"
27,Supercenter #2729,1250 E Magnolia St,"Fort Collins, CO 80524"
28,Supercenter #3177,4625 S Mason St,"Fort Collins, CO 80525"
29,Supercenter #1273,6310 S Us Highway 85-87,"Fountain, CO 80817"
30,Supercenter #3018,4425 Venetucci Boulevard,"Fountain, CO 80906"
31,Neighborhood Market #4491,541 Warrior Way,"Grand Junction, CO 81504"
32,Supercenter #1280,2881 North Ave,"Grand Junction, CO 81501"
33,Supercenter #5099,2545 Rimrock Ave,"Grand Junction, CO 81505"
34,Supercenter #980,3103 S 23rd Ave,"Greeley, CO 80631"
35,Supercenter #5051,920 47th Ave,"Greeley, CO 80634"
36,Supercenter #2125,7455 W Colfax Ave,"Lakewood, CO 80214"
37,Supercenter #4284,440 Wadsworth Blvd,"Lakewood, CO 80226"
38,Supercenter #1308,7700 W Quincy Ave,"Littleton, CO 80123"
39,Supercenter #5049,13420 W Coal Mine Ave,"Littleton, CO 80127"
40,Supercenter #953,1325 Denver Ave,"Loveland, CO 80537"
41,Supercenter #1008,250 W 65th St,"Loveland, CO 80538"
42,Neighborhood Market #5828,2730 S. Prairie Ave.,"Pueblo, CO 81005"
43,Supercenter #842,4200 Dillon Dr,"Pueblo, CO 81008"
44,Supercenter #1001,4080 W Northern Ave,"Pueblo, CO 81005"
45,Neighborhood Market #3019,850 E 88th Ave,"Thornton, CO 80229"
46,Supercenter #1231,9901 Grant St,"Thornton, CO 80229"
47,Neighborhood Market #6177,7170 N Federal Blvd,"Westminster, CO 80030"
48,Supercenter #2223,9499 Sheridan Blvd,"Westminster, CO 80031"
49,Supercenter #3824,7155 Sheridan Blvd,"Westminster, CO 80003"
50,Supercenter #3867,200 W 136th Ave,"Westminster, CO 80234"
51,Store #2954,650 Main Ave,"Norwalk, CT 06851"
52,Store #3547,680 Connecticut Ave,"Norwalk, CT 06854"
53,Neighborhood Market #6894,820 Balmy Beach Drive,"Apopka, FL 32703"
54,Supercenter #955,1700 S Org Blsmtrail,"Apopka, FL 32703"
